@relation politeness

@attribute request string
@attribute numGratitude numeric
@attribute numDeference numeric
@attribute numGreeting numeric
@attribute inPosLexicon numeric
@attribute inNegLexicon numeric
@attribute numApologize numeric
@attribute pleaseCount numeric
@attribute pleaseStartCount numeric
@attribute numIndirect numeric
@attribute numDirectQuestion numeric
@attribute numDirectStart numeric
@attribute numCounterFactual numeric
@attribute numIndicative numeric
@attribute class {polite,impolite}

@data
'So you essentially want to fetch most frequent words from the text. Is that correct?',0,0,2,1,0,0,0,0,0,0,1,1,1,polite
'Usually youd specify language in the tags (for example HTML CSS PHP etc.)  What language are you using?',0,0,2,1,1,0,0,0,0,0,1,1,1,polite
'I am running Windows 7. What built-in tools should I look for?',0,0,0,1,0,0,0,0,0,0,1,1,1,polite
'Given the screenshot is it possible you have JavaScript thats interfering with the display of the form elements value? Or well CSS that renders the text invisible?',0,0,1,2,2,0,0,0,0,0,1,1,1,polite
'For all downvoters it may be that english its not his native language. @varsha: You want to create such an application or you already have one and want to configure it?',0,0,2,1,0,0,0,0,0,0,1,1,1,polite
'I havent ever experience `GetClientRect` returning anything but the full client rectangle no matter what overlaps it or if it is fully on-screen.  Are you sure?',0,0,3,0,4,0,0,0,0,0,1,1,1,polite
'Would you be able to tell if more than 24 hours elapsed between start and stop time? Or is this not an issue with your data set?',0,0,2,1,4,0,0,0,0,0,1,1,1,polite
'How are `g_rx_buffer` and `BYTE` defined?  What compiler are you using?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'**Question:** Is `N` allowed to have an initial value that is also in `V` (i.e. a power of 3)?',0,0,0,0,0,0,0,0,0,0,1,1,1,polite
'I have some code that attempts to solve this problem (see above). Can you look over it and help me fix it?',0,0,2,1,1,0,0,0,0,0,1,1,1,polite
'Writing your own utility to parse this would not take long at all probably 15-20 minutes - is that an option?  What language would  you use?',0,0,2,0,0,0,0,0,0,0,1,1,1,polite
'Whats the class that it cant find? Are they all custom classes?',0,0,1,0,0,0,0,0,0,1,0,1,1,polite
'@tjameson Ok If I keep the `{10}` I should be able to ditch the `length != 10` right? or is it better not to?',0,0,1,2,2,0,0,0,0,0,1,1,1,polite
'I think `chunklen` needs to also be able to decrease or else your queue will have size proportional to its largest-ever size even if it is empty.  So how about `if (q->head->next == q->tail) chunklen/=2`?',0,0,2,1,1,0,0,0,0,0,1,1,1,polite
'@Binary: Enough of you seem to be pretty upset about this - so I made it CW (which I didnt know about before BTW) - do I need to do anything else?  Or am I kosher now? :)',0,0,2,2,3,0,0,0,1,0,0,1,1,polite
'Your algorithm would presumably conclude that `{xyyyy}` and `{xxxxy}` are equal. Is that the desired behaviour?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'You may want to define efficient/clean. Do you mean simplest in terms of expression or efficient in terms of processing speed or most generic in terms of possible strings handled ... ?',0,0,1,6,1,0,0,0,0,0,1,1,1,polite
'Then can you suggest me something how should i do it. Because if i sort the array i loose track of indexes and i need to know which index the value came from??',0,0,2,0,1,0,0,0,0,0,1,1,1,polite
'The answers all assume a different type of output. Can you give an example of how you want the output to look (or does it just need to be readable?)',0,0,1,2,0,0,0,0,0,0,0,1,1,polite
'Same problem here. Can you still remember how you got rid of it?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Are words allowed to overlap?  What is the desired answer if `dictionary = {abc bcd}` and `word = abcd`?',0,0,0,0,1,0,0,0,0,0,1,1,1,polite
'How did you import it into the project? Add to build path...?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'*Find a random element* sounds like picking a random element. But I assume you want to find a *specific* element in the array right?',0,0,1,2,0,0,0,0,0,0,1,1,1,polite
'you already release FootballScoreBoardViewController. Can you show your code ?',0,0,1,2,0,0,0,0,0,0,1,1,1,polite
'what happens when you type for example `git` on the command line?  Or `which git`?',0,0,2,1,0,0,0,0,0,1,0,1,1,polite
'You are passing a URL string into a method that takes a file path. Did you try initWithContentsOfURL and passing an NSURL instead?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Can you clarify a bit?  You mean a type that implements `IEnumerable(<T>)` or like an `enum` with a set number of values?',0,0,1,1,1,0,0,0,0,0,1,1,0,polite
'I dont understand.  That call stack is all about the Debug Help Library; is this only happening when it is being debugged?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'So is there any problem/issue you are facing? What is the problem?',0,0,1,0,3,0,0,0,0,0,1,1,1,polite
'Does each ? have to be substituted with the same letter or can they be different?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'ErrorDocument 404 index.php This does not seem to work for me. Any ideas?',0,0,1,1,2,0,0,0,0,0,1,1,1,polite
'Please rephrase your question with an example of the data and the code. Where is the datastructure youre trying to scan?',0,0,1,2,2,0,1,1,0,0,1,1,1,polite
'What have you tried? What didnt work?',0,0,1,1,0,0,0,0,0,1,0,1,1,polite
'While this is obviously possible it is far from trivial if you want it to look decent. Can you maybe get away with having several pre-rotated tower images and flip between those?',0,0,2,1,4,0,0,0,0,1,0,1,1,polite
'css text-indent can be used to move text off the screen. Will that work?',0,0,0,1,1,0,0,0,0,0,1,1,1,polite
'Which php.ini file did you change the setting in? Did you restart the server after changing it?',0,0,2,0,1,0,0,0,0,1,0,1,1,polite
'What have you tried? Can you post the code?',0,0,1,0,0,0,0,0,0,1,0,1,1,polite
'Try using localhost as your address. Does it work?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'You said Error while trying to.... What was the exact error?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'Whats the relation between the classes Main and File2 ? (which one does inherit from which one ?)',0,0,1,1,0,0,0,0,0,0,0,1,1,polite
'(Off-topic:) Nope this is a case of while i was writing the first one (in php) i accidentally created the second one and was curious as to see if there was anything different considering this has to validate 3.5 million cards in the next month 8D.  which one is better in your mind?',0,0,2,2,3,0,0,0,0,0,1,1,1,polite
'Youll likely get more help if you make your question more specific.  Is there a particular instruction youre having trouble understanding?',0,0,1,1,3,0,0,0,0,0,1,1,1,polite
'what happens if you print before exporting? or is that the order already?',0,0,1,1,0,0,0,0,0,1,0,1,1,polite
'Are you using an IDE in your group?  Like Eclipse or Netbeans?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'Can you post your declaration of the `share` property? Does it retain the value assigned?',0,0,2,1,0,0,0,0,0,0,1,1,0,polite
'How would you represent your distribution? - alternatively - are you looking for a specific solution for gaussian distribution?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'@kraceKumar: i have another prob...the file writing here that is done row-wise skips a row as it writes into myfile.csv. how can i make it not skip a line while writing?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'What error did you get? Also can you provide what code your using to connect?',0,0,1,0,3,0,0,0,0,1,0,1,1,polite
'What error does it show? Can you post the stack trace?',0,0,1,0,2,0,0,0,0,1,0,1,1,polite
'Problem description has only inputs defined not what the program is supposed to solve. What kind of optimization is needed here?',0,0,0,1,2,0,0,0,0,0,1,1,1,polite
'Did you read the page linked to from that one? If so which/what part(s) didnt you understand?',0,0,2,0,0,0,0,0,0,0,1,1,1,polite
'What are you optimizing for? For example read throughput (concurrent reads from multiple machines) fault tolerance in the face of machines becoming not available low number of machines... Do you also need writes?',0,0,2,2,5,0,0,0,0,1,0,1,1,polite
'Is the set of tasks known in advance or are more tasks being added as you go? Do you have have to worry about starvation (for example a task with high c_i never getting run if low c_i tasks keep getting added)?',0,0,2,1,2,0,0,0,0,0,1,1,1,polite
'pyparsing appears to be a word specific to Python.  Is there a more general programming term for that type of action?',0,0,0,0,1,0,0,0,0,0,1,1,1,polite
'Is it popular open source web application? Can we know the name of open source?',0,0,0,1,1,0,0,0,0,0,1,1,1,polite
'Right the workstation is a VM running 64 bit with VS installed and Im attmepting to debug to the local dev. So theres no way to work this?',0,0,1,4,2,0,0,0,0,0,1,1,1,polite
'if you mean _window.onload = onload_ then that would work or something similar.  have you tried your example to see what happens?',0,0,2,3,0,0,0,0,0,0,1,1,1,polite
'I cant understand you. Can you show an example?',0,0,1,1,0,0,0,0,0,0,1,1,1,polite
'What have you tried so far? Do you have an attempt at making it work which fails?',0,0,2,2,3,0,0,0,0,1,0,1,1,polite
'It seems that you are adding the text view outside of the bounds of the view controller. Have you tried setting your custom text view frame to something like (0 0 321 176) to see if it appears?',0,0,2,1,2,0,0,0,0,0,1,1,1,polite
'What are the project settings for the version you are debugging?  For example is the Debugging element defined so that there is a corresponding pdb file?',0,0,1,2,4,0,0,0,0,1,0,1,1,polite
'Also what about duplicates? Its not explicit but it seems like you want to remove them?',0,0,1,1,0,0,0,0,0,0,1,1,1,polite
'When I see status with Firebuss Net Tab then it shows me Status 200. Is it right?',0,0,0,1,1,0,0,0,0,1,0,1,1,polite
'Do you have tabbed browsing enabled?.. And are you using IE?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'So theres exactly one line in both files per chromosome number and you want to compare only lines with the same chromosome number? And do the files contain the same keys?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Is the viewport fixed sized? And is the image fixed sized?',0,0,0,0,0,0,0,0,0,0,1,1,1,polite
'So your .click listener/handler is functioning correctly (you can do other things within it?) and its only your $.get function that has an issue inside the handler?',0,0,2,3,2,0,0,0,0,0,1,1,1,polite
'How many is several different? How big are |L| and |S| relatively/absolutely? ~~~~',0,0,0,0,2,0,0,0,0,0,0,1,1,polite
'It reminds me of [APL](http://en.wikipedia.org/wiki/APL_%28programming_language%29). Tell me how comfortable you would be using that as a programming language?',0,0,1,2,1,0,0,0,0,0,1,1,1,polite
'Also - I just tested in chrome and it does exactly as I said above. No resize handles around the image when it is placed in the containment div and as soon as you click the image it jumps directly into the containment div - there is no smooth drag animation....?',0,0,1,1,4,0,0,0,0,0,1,1,1,polite
'What do you call a keyword? Every [long enough] word in a string?',0,0,1,1,1,0,0,0,0,1,0,1,1,polite
'can you clarify - do you have a time with timezone as input and want time and different timezone as output?  Or is the input time GMT?',0,0,1,0,0,0,0,0,0,0,1,1,0,polite
'That works just fine when I try it.  What error are you getting?',0,0,1,3,2,0,0,0,0,0,1,1,1,polite
'Are you trying to simulate how it would look if someone pointed an ordinary movie projector at this surface? Or are you trying to adjust what youre projecting to try to cancel out the deformations in the surface?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'Are your buildings all rectangular? Or do they have more complex shapes?',0,0,2,0,4,0,0,0,0,0,1,1,1,polite
'This is most likely a problem due to the encoding of your input. In what encoding is it in?',0,0,2,1,3,0,0,0,0,0,1,1,1,polite
'Oh ok- i know exchanges LOVE multicast. Anyway are you trying to get a second machine to process the data for redundancy or for more throughput?',0,0,2,1,4,0,0,0,0,0,1,1,1,polite
'Do you have a constructor defined for your class? Also is the default JVM the official one from SUN?',0,0,1,1,2,0,0,0,0,0,1,1,1,polite
'I dont understand this sentence We are to find such placement of this polygons (we could make rotations and movements) when rectangle which circumscribes this polygons has minimal area. Can you clarify?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'Are you sure we dont know anything else about these elements?  Do we even know if they are numbers or could they be arbitrary elements?',0,0,3,0,2,0,0,0,0,0,1,1,1,polite
'Did you ever get this resolved successfully? Do you still need help with this?',0,0,2,4,0,0,0,0,0,0,1,1,1,polite
'Did you try the code example you included?  Did you get the desired results?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'Are you using the default expression evaluator? Also have you tried applying the line directive to the ret instead of a nop?',0,0,1,0,5,0,0,0,0,0,1,1,1,polite
'I met the same problem.  Have u resolved it?',0,0,0,0,1,0,0,0,0,0,1,1,1,polite
'How is your DAL structured? Is there only one Assembly?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'To clarify - the retain count is 1 after initWithNibName and 4 after pushViewController...Any ideas?',0,0,0,0,0,0,0,0,0,0,1,1,1,polite
'You appear to ask two different questions: are you building a language parser and wish to base your parser on a pile of regex? Or are you trying to implement a competitor to [pcre](http://www.pcre.org/) or [Oniguruma](http://www.geocities.jp/kosako3/oniguruma/doc/RE.txt) regular expression parsers?',0,0,1,0,2,0,0,0,0,0,1,1,1,polite
'Ive never done COBOL before but this strikes me as strange: `IF POLI-DATE-REQUESTED-S-2 IS NOT = 11 OR 12` Most languages Im familiar with would parse `foo != 11 or 12` as `(foo != 11) or (12)`. Does COBOL really parse the expression as `foo != (11 or 12)`?',0,0,1,0,3,0,0,0,0,0,1,1,1,polite
'You might want to specify what language youre trying to do the parsing in - if in C C# JavaScript. If JavaScript are you perhaps trying to your own HTML document from within a browser or offline?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'Do you get any sort of error in Instruments when you plugin your iOS device? Is your iPhone Developer Program Membership up to date?',0,0,2,0,3,0,0,0,0,0,1,1,1,polite
'I have an application.xml file but not sure how exactly how to use it. Have I missed some settings?',0,0,0,0,2,0,0,0,0,0,1,1,1,polite
'Before you get into the run-time of the algorithm do you understand what it is supposed to do?  Do you see how it works?',0,0,1,2,0,0,0,0,0,0,1,1,1,polite
'Following your edit it looks like your rescue is catching a SystemExit exception (raised when you call exit) rather than the TypeError from trying to join nil with a String. Whats on multi.rb line 234?',0,0,3,2,2,0,0,0,0,0,1,1,1,polite
'did it find the vehicle? i.e put a breakpoint inside your var number = $(this).find(number).text(); is it actually hitting the bp?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'Is it acceptable to call it like `f2(func *args **kwargs)` which in your case would be `f2(f1 2 2)`? Is this some kind of testing framework?',0,0,2,3,1,0,0,0,0,0,1,1,1,polite
'@Rob i dont have one. at the risk of sounding stupid: do i need one?',0,0,0,0,4,0,0,0,0,0,1,1,1,polite
'Not imageView1.image imageView1. Did you connect in via an IBOutlet in Interface Builder or create it programmatically?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'Very weird indeed. Are there two newlines after each pubDate?',0,0,0,0,1,0,0,0,0,0,1,1,1,polite
'Are you looking for a C program that you can invoke from the command line and that sets the current directory? Or you want to set the current directory within the C program?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'I suppose you managed to connect your RMI registry and look up your remote object right? Can you provide stacktrace (on client / server)?',0,0,1,1,3,0,0,0,0,0,1,1,1,polite
'Even till today I could not get the solution. Is there anyone who has done this before ?',0,0,2,0,0,0,0,0,0,0,1,1,1,polite
'@karmicpuppet: No but I notice that ImageBrush has Viewbox and Viewport properties. Should I try to set them manually?',0,0,0,1,1,0,0,0,0,0,1,1,1,polite
'Is it necessary that you use a neural network to perform this classification?  Or would other classes of algorithms be acceptable?',0,0,2,1,0,0,0,0,0,0,1,1,1,polite
'What kind of error message do you get?Did you try GDB ?',0,0,1,0,4,0,0,0,0,1,0,1,1,polite
'@Paul W they all just pass through theres no getting off early. would you think it would be ok to change the initial call to somewhere further down the line to skip a few but use the main interface still ?',0,0,3,0,3,0,0,0,0,0,1,1,1,polite
'Any ideas on how to create from scratch?? like what is required ect?',0,0,1,1,2,0,0,0,0,0,1,1,1,polite
'As an aside do you do a lot of maintenance programming... on your own code?  How large in LOC are the projects you are working on?',0,0,1,1,0,0,0,0,0,0,1,1,1,polite
'Is `getFreeCrawler()` synchronized? In which line does the error occur?',0,0,1,1,2,0,0,0,0,0,1,1,1,polite
'The resulting table shouldnt have that primary key. What provider are you using?',0,0,1,0,2,0,0,0,0,0,1,1,1,polite
'How are you launching the debugger? Via the respective properties of your project or via attaching the debugger to the w3p.exe process?',0,1,2,2,2,0,0,0,0,0,1,1,1,polite
'large as in 10^6 or large as in 10^12 ?  Are there any bounds on the end points of the range which includes all the intervals ?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'Any hints ideas clues. Why am I not able to install again to the real device ?',0,0,1,1,2,0,0,0,0,0,1,1,1,polite
'I have an interesting proposal... assuming the common tail of the list is infinitely long. How can you find the node intersection using constant memory?',0,0,1,1,4,0,0,0,0,0,1,1,1,polite
'It may depend on the image file.  If you Select All in the pdf do you see the outline of the image?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'Try the same thing using SciPy? Save to text first and then use Asymptote or convert unix command?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Is this occurring in the same dev environment where the default page is displaying the image as desired?  Have you checked the DOM to see if there is some css class(es) or javascript applying styles that hide it on the login page?',0,0,2,0,6,0,0,0,0,0,1,1,1,polite
'It would be helpful to learn what types of helper functions youve written.  Do they lend themselves well to a Term::Menus approach?',0,0,2,3,0,0,0,0,0,0,1,1,1,polite
'Which part of the task are you having trouble with? What hints have your lecture notes or textbook given you about this problem?',0,0,2,0,2,0,0,0,0,1,0,1,1,polite
'What does the label actually show? Are you sure you are setting the value *before* accesing it?',0,0,1,0,1,0,0,0,0,1,0,1,1,polite
'Its still under-determined.  Is for example 2*10 before or after 4*5 or should it be that once a value of 20 is used its never used again?',0,0,0,2,1,0,0,0,0,0,1,1,1,polite
'Could it be a permissions issue?  Does your cron job have privileges in /var/ ?',0,0,1,1,4,0,0,0,0,0,1,0,1,polite
'Are you wanting to take all pairs of elements to be compared or is it that all the elements of the array are compared against a known valuee.g. if the array was of ints and you wanted to know if half were single digits?',0,0,1,2,1,0,0,0,0,0,1,1,1,polite
'If an edge connecting the graph to a leaf node is to be deleted is it assumed to delete the leaf node as well? Alternatively does deleting a leaf node also delete the edge connecting it to the rest of the graph?',0,0,0,1,0,0,0,0,0,0,1,1,1,polite
'@Jeremy: What happens if you add this line to your code - `alert({iframe:true innerWidth:425 innerHeight:344}.iframe)`. Does view source give you the same code?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'@shane87: How did you generate the managed type of the `photo` variable you are calling through? What is the IDL of the COM method?',0,0,1,1,3,0,0,0,0,0,1,1,1,polite
'Is the junk always the same or is it different for each file? Also what format is the date in?',0,0,0,0,1,0,0,0,0,0,1,1,1,polite
'Does the word need to be composed of words of the dictionary only? For example what would be the result for *applepie* if *apple* is not in the dictionary?',0,0,0,1,0,0,0,0,0,0,1,1,1,polite
'Any particular language in mind? Are you inserting this into an existing document or creating a new one consisting of just the image?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'A query walks into a bar up to two tables and says Can I join you?. Are homework questions allowed?',0,0,1,1,0,0,0,0,0,0,1,1,1,polite
'you should post your xml layout here. What you have implemented so far?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'does the fading stay constant?  Or do you also want to change how lighter or darker the top gets??',0,0,1,2,6,0,0,0,0,0,1,1,1,polite
'What URL are you trying to access? Or is it all of them?',0,0,1,0,0,0,0,0,0,1,0,1,1,polite
'what language? You mentioned pointers... does that mean youre using C++?',0,0,1,0,1,0,0,0,0,1,0,1,1,polite
'Youll need a serverside to do that. What are you using on the backend?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Im not that familiar with Bezier curves; does this give you what you need to construct them? Can you elaborate how to finish it off?',0,0,2,0,2,0,0,0,0,0,1,1,1,polite
'Is the table structure fixed? For example will there be different spans?',0,0,0,1,1,0,0,0,0,0,1,1,1,polite
'no way! can you show us the entire loop?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'Are you looking for a total ordering? or just an ordering?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'Are you trying to create some type of tile system or are you just wanting to draw different parts of the image at a time. What are you using it for?',0,0,1,0,1,0,0,0,0,0,1,1,1,polite
'How would you differentiate a series of letters and an actual word? Do you have a database to compare it to?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'The commenter is merely saying that the solutions hard code the multiples of three and five conditions. What if we wanted multiples of four and nine?',0,0,0,0,1,0,0,0,0,0,1,1,1,polite
'Id be curious to know how your activity timestamps could come in out-of-order for a given user session. Would it realistically report 13:00 14:00 13:30 for a given user?',0,0,1,1,0,0,0,0,0,0,1,1,1,polite
'The character set in Oracle is WE8ISO8859P1 ... the eacute in my example is correctly stored in the database if I stay within Oracle ... but when I bring it into PHP via oci8 thats where the problem arises. Is there anything better than the charset_decode_utf_8 function ?',0,0,1,6,1,0,0,0,0,0,1,1,1,polite
'Are the x/y coordinates actually reals or integers? That is can you determine a neighbor by finding the tile with x=x+1 & y=y?',0,0,1,0,3,0,0,0,0,0,1,1,1,polite
'I dont think it matters for the algorithm but for the record: do you want floating-point accuracy or are integer coordinates sufficient? If so how should they be rounded?',0,0,3,1,3,0,0,0,0,0,1,1,1,polite
'Depends where will you base the generated code on? Database XML Diagram?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'By implementing square do you mean implementing a function such that `f(x) = x^2` or `f(x) = x`? Also what is the precise list of operators you are not allowed to use?',0,0,1,2,0,0,0,0,0,0,1,1,1,polite
'\n for replacement. Did you mean space or newline?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'@AnthonyK What is the name of the images you want to display? Are they same for all rows?',0,0,2,0,0,0,0,0,0,0,1,1,1,polite
'You have Firebug? Is it reporting any JS errors when you load the page?',0,0,1,0,5,0,0,0,0,0,1,1,1,polite
'@pickypg thanks. Can I extend JApplet and use it to the web application?',0,0,0,1,1,0,0,0,0,0,1,1,1,polite
'Is it always the same for every file or does it vary between files? Also is it always the same number of question marks?',0,0,0,0,2,0,0,0,0,0,1,1,1,polite
'In the sample theres a space after `another_question? \ `. Does the space exist in the original code?',0,0,0,1,0,0,0,0,0,0,1,1,1,polite
'Could you clarify what you mean by zoom? Are you referring to the effects of `Ctrl +` and `Ctrl -`?',0,0,1,0,1,0,0,0,0,0,1,0,1,polite
'And an intelligent crop is a 3rd.Note though that the aspect ratios are different in the example (0.96 vs 1.1) so perhaps Andre means resizing first then cropping to match aspect ratio?',0,0,1,2,1,0,0,0,0,0,1,1,1,polite
'Thinking up good names is sometimes very hard. Why dont you post two examples and solicit names?',0,0,2,2,1,0,0,0,0,0,1,1,1,polite
'it sounds like HTML Agility pack will probably work for me.Are there any other options????',0,0,0,3,0,0,0,0,0,0,1,1,1,polite
'Seems okay to me. What is it supposed to output?',0,0,0,0,0,0,0,0,0,0,1,1,1,polite
'Not sure what you are referring to when you say you need an SQL query builder for Python. Do you mean to say you need an ORM like SQLAlchemy (http://www.sqlalchemy.org/) to connect with databases without having to write SQL statements yourself?',0,0,1,1,1,0,0,0,0,0,1,1,1,polite
'Im also looking for an answear to this one. Is there any possibility with nhibernate to extend an entity from within another map without touching the main-map ?',0,0,1,0,0,0,0,0,0,0,1,1,1,polite
'Are you looking to round to those specific 12 colors in Google image search or was that just an example of color rounding? If the latter how many colors would you ideally like to end up with?',0,0,1,4,2,0,0,0,0,0,1,1,1,polite
'Do the repeats have to be contiguous? is 5141 allowed if R=2 ?',0,0,0,0,0,0,0,0,0,0,1,1,1,polite
'Could you better describe for which elements of jqGrid you what to set the background image? Do you want to set it on the grid title (the capture layer) on the column headers or replace only the sorting images in the column header (see the pictures [here](http://www.trirand.com/jqgridwiki/doku.php?id=wiki:how_it_works))?',0,0,2,3,0,0,0,0,0,0,1,0,1,polite
