@relation output

@attribute text string
@attribute @@class@@ {impolite,polite}

@data
'So? Are you expecting us to do your homework for you??? :-) Okheres a hint... whats the type of `a | b`?',impolite
'@RPM1984: its just so utterly wrong though! You seem like a smart guy where did you get the idea from?',impolite
'Homework?  Because there doesnt seem to be any other remote possibility in my mind why any sane person would want to do this?',impolite
'Why not K&R? Was this just an excuse to bad-mouth some books you didnt like?',impolite
'What? Can you say what you question is in one sentence?',impolite
'@antti.huima Why? Because you cant solve it?',impolite
'Ow my eyes. Why are you not using `use strict; use warnings;`?',impolite
'Loops are forbidden?  What sort of nonsensical assignment is this?',impolite
'@Rajendra: I have read it carefully and both the original problem and the converted problem can be interpreted in multiple ways. Is it that hard to give a yes or no answer?',impolite
'Yep Google first hit then read the paper cited. If you dont know what it is then how come you know you want to implement it?',impolite
'While this may not be your homework you are essentially just asking us to write you code to solve this problem. Maybe you should do a Google search?',impolite
'Surely your classes have at least introduced basic entity relationship modelling to you already?  I cant see them giving you this project without some kind of basic coursework...  Are you sure this isnt a case of just skipping read the textbook/lecture notes?',impolite
'Thats what groups are for.  http://docs.djangoproject.com/en/1.3/topics/auth/#groups Why arent you using groups?',impolite
'So you think its a good idea to dump your homework here without any attempt at solving it from your side and expect us to do your work? Also: which assembler language are we talking about?',impolite
'The name of that site is CodeKata not Code Katas; can anyone .. is a yes/no question what you really want to ask is what are some more ..; the title Code Katas is too short and is automatically rejected by the system; greetings and signatures (thanks!) are currently considered out of place on SO (see Meta); the [best-practices] tag is out of place and [coding] (at least [currently](http://stackoverflow.com/questions/tagged/coding)) has lost any specific meaning (effectively all programming involves coding right?).',impolite
'you asked this same question a couple days ago http://stackoverflow.com/questions/3595256/simple-pseudocode-code-question .  Did you not like the answers you got?',impolite
'hmmm.. nothing???',impolite
'Hmmm... I suggest you try and solve them yourself and then post questions back on SO with your attempted solutions. Just asking people to do the work for you kind of defeats the purpose you know?',impolite
'What is the problem? To identify the liars?',impolite
'Clues? Any code???',impolite
'@Darin Dimotrov: So youre saying that if I sent you to the supermarket to get me some beer you will tell me you cant buy beer in a supermarket while you actually *mean* you dont know which brand of beer to buy and whether to buy a single can a sixpack or a tray. Wouldt it be better to just ask more specifically what I want instead of telling me its impossible?',impolite
'I use the [full-size version](http://training.perl.com/scripts/rename) of the rename script everyday.  Why in the world would you *not* want to use existing code?',impolite
'The insertion of data into the hash seems to have nothing to do with your original creation of the hash. Why are you so reluctant to show us your code?',impolite
'As @Woot4Moo points out you have already asked this question AND received decent starting points in the replies. So what have YOU done?',impolite
'Its not a homework people my colleaugue asked me to help him with some algorithm this is only a part of that I simplified it in terms of normal array objects anyways the data consist of approximately 1000 elements so if you could help us with atleast a better( efficient algorithm).and who tagged this is as homework??',impolite
'If you have never got it working why should you do it everyday? Did I miss something?',impolite
'One idea: dont. Why do you think you need to do this?',impolite
'*What* doesnt work? How so and what do you actually want to do?',impolite
'well... where is the problem? what results *are* you getting?',impolite
'If you had such a list what on earth would you do with it? The list of names in each category doesnt seem very interesting by itself; surely you dont want to actually process the content of all those grammars?',impolite
'You have a web service for multiplying numbers? What for?',impolite
'Shouldnt every professional programmer be able to do such things? Isnt that part of a being programmer?',impolite
'I cant help but think that youre making this much more complicated than it should be.  HTML already handles word wrapping beautifully why would you manually add line breaks to text that has characters with dynamic width?',impolite
'this has nothing to do with C#.  Why did you add it as a tag?',impolite
'Why are you debugging AutoCAD? Isnt that AutoDesks job?',impolite
'Title say permutations but body says combinations. Which is it?',impolite
'I dont see anything strange in the log you posted. What do you expect `NSTokenField` to do???',impolite
'Thats a straightforward formula that uses basic arithmetic operations.  What part dont you understand?',impolite
'This question basically tells me nothing about what the actual problem is. Also whats a pathway?',impolite
'exact duplicate of your 5 minute old question [How to receive and use a json in ajax sended from php?](http://stackoverflow.com/questions/4317587/how-to-receive-and-use-a-json-in-ajax-sended-from-php). Are you for real?',impolite
'iPhone 3.3? Do you work for Apple or something?',impolite
'@littleadv and whats so strange? if I have this program running over bilion times whats so strange do you mind answering?',impolite
'sounds suspiciously like homework.  if it is what have you done to solve the problem yourself?',impolite
'Who would be helped by this?  Is all that work really going to help someone?',impolite
'Um. What do you want to replace them with? And maybe a little context would help no?',impolite
'Is find . -name *.c not simple enough?',impolite
'whats wrong with this place? how has this question been up for an hour and no one has made a Bob Ross reference?',impolite
'Not at all clear what you want to do. What is the full expected output?',impolite
'Those sound more like rhetorical questions than actual questions. What are you looking for?',impolite
'*I am going to be developing a real-time web application* - good luck with that! How are you planning to get around the internet latency?',impolite
'Its my understanding that it is not possible to change a files ctime without royally screwing everything else up. Why do you need this behavior?',impolite
'What? No warning that gender can change?',impolite
'oh sorry mr. wizard yeah i meant math in general - can i change it somehow?',impolite
'I see no question here. What is your question?',impolite
'so what is your problem? You dont know how to copy the content?',impolite
'this is source code... what is the question? Do you really think that throwing code at us will solve your problem?!',impolite
'Updated!!!!!!!!! any one???',impolite
'Vote down? Would you care to explain why?',impolite
'Of the two answers you chose to accept the one with 3 downvotes vs. the one with 7 upvotes?!',impolite
'There already a bunch of free IDE out there and you want to use Visual Studio ??? You have arguments to not use Eclipse or Netbeans ?',impolite
'Apple => i = 0 => B[i + 101] = B[101] = 0069 not 0041. Am I wrong or are you?',impolite
'Of course I am not comparing to anything else. Otherwise I wont be here right?',impolite
'You just did! What are you asking that your query doesnt already do?',impolite
'Cant see the error ? You mean your compiler crashes as badly on this code that you even cant tell us what he is complaining about?',impolite
'Um why are you doing this with Javascript? Is that really going to be the way to put things into the database?',impolite
'Wow! Trivial answer converted to comment! Is this new?',impolite
'Isnt it? Homework is work too or are you only allowed to get answers for free if you are actually payed to find them yourself?',impolite
'Since when is `String` a primitive? Since when can you store primitives in a `Collection`?',impolite
'Stopping code is completely different from debugging code.  Whats the real question?',impolite
'Okay you simply posted your homework verbatim. Do you have a question of your own?',impolite
'Did you build the wheels for your car on your own or you bought the ready ones from the store? If you didnt reinvent the wheels literally why are you considering it metaphorically?',impolite
'@Mitch: I have given you my answer. Can you give yours now?',impolite
'Seems all too straightforward - I must be missing something.  The only interesting part is the talk of the reverse side of the page which seems like a bit of irrelevant misdirection - or not?',impolite
'err..... huh???',impolite
'I asked A or B? and you said Yes...?',impolite
'brian speaks truth.  The best answer is dont followed by why did you want to do that?',impolite
'Why not use a database such as MySQL? And more disturbing is why didnt anyone mention that ?!?!',impolite
'So use a merge sort. And the question is?',impolite
'Really? What is the evidence that leads you to conclude that `;` is interpreted as a sentence terminator?',impolite
'Why would this be homework? And what if it was homework?',impolite
'-why- not use sorting? homework?',impolite
'Huh? A downvote? What for?',impolite
'@Gabi: what is the point of having n greater than say 32 or 64 ? It seems like an arbitrary and unnecessary requirement ?',impolite
'@user393043 is it that youve consulted the documentation and are still confused?  Or that you havent even looked at the docs in the first place?',impolite
'Out of curiosity what are you actually trying to accomplish? To put it another way _why_ do you want to do this?',impolite
'what a hypocrite! Doesnt his solution (steps 3-5) also apply for both of his statements?',impolite
'Im being a bit thick but what exactly is the problem...Are you getting an exception? is so what?',impolite
'Maybe if you could let us know *why* you want to do this.  Just for kicks?',impolite
'How long can it possibly take to copy a ssh key to some remote system? Even over a dial-up line?',impolite
'the edit just made things less clear! how does one reorder a list A to another list B when the elements may be different?!',impolite
'after trying to edit your post I realize your syntax is totally bunked or you copied and pasted it wrong. Is this everything?',impolite
'ok your 1 step closer to getting help. Now what exactly is _NOT working_?',impolite
'I wonder why downloading on Windows mangled the mp3? uhh because its a toy-like excuse for a real operating system?',impolite
'This makes no sense. Did you mean space complexity of O(n2)?',impolite
'Wait... on this specific name / IP address it does not show my acceptance rate properly? You dont actually know what those things mean do you?',impolite
'Do you want the complete question solved yourself? What exactly is the question here?',impolite
'This question while not an award-winner is at least much more specific. How about we close the *other* one?',impolite
'2.5D? Is that what people call projected 3D nowadays?',impolite
'What do you want if you have a path like `images/P/n/ABC-4b.jpg`?  Are you really asking to strip off the path and extension and return only the filename?',impolite
'How about some code? Otherwise how can we tell what youre doing with the image?!',impolite
'Its my own program  - then presumably you have the source code. Debug that?',impolite
'@Brian R Bondy: Isnt that a fault of the answers and not of the question ? Or should the question be made more precisely?',impolite
'And ? What is the problem ?',impolite
'Your edit makes parsenomes answer seem redundant. A bit unfair no?',impolite
'From your responses it looks like youve made up your mind to do this despite all the people telling you not to. Why did you ask the question if you dont plan to understand/listen to advice?',impolite
'We prefer not to just do your homework for you. What answers have you considered?',impolite
'why they have to in ONE page? why not use CSS sprites?',impolite
'I think you might be missing the point of the assignment. Hint: what can regular expressions parse what cant they?',impolite
'So what specificaly is it that you have problems with? Is it that you dont understand the assignment?',impolite
'You want to transform a string to a byte array but you dont want to specify the encoding. How would you possible decode it back to a string without knowing how it was encoded?',impolite
'***deletes even so cynical comment***. Can you tell a bit more about the nature of your data and how you want to display it?',impolite
'I think the question that is most looming on my mind is... what could possibly be the purpose of decrementing an auto increment id from mysql?  Have you considered that maybe what you are trying to do is just not good?',impolite
'what is your problem? what is your question?',impolite
'Have you made sure that these calculations take place in code that is executed often enough to cause a performance impact?  Or do I have to post the micro-optimization lecture again?',impolite
'@Kerrek SB:  Each string in the input is printed out exactly once in the output with at most an additional comma to separate them.  I dont see how that would come out to pages unless you are being sarcastic and there is something I am missing?',impolite
'Your code will result in 0.5. So whats your problem?',impolite
'Why the vote to close? Is this offensive to you?',impolite
'Not a clue what youre talking about. Is PhotoshopImage a private class youve created or what?',impolite
'@Guffa What exactly should I do to make it absolutely clear that I dont care what for my vote is used aside from the fact that it lets the OP know that his / hers way is the best in my opinion? Would you stop making remarks if I upvote your post?',impolite
'Why? 99\% of the time you can convert well written C code to C++ code by just changing the compiler setting. Why not start using C++ code?',impolite
'*Use a JavaScript literal.* Huh?',impolite
'Yeah and why dont it try to convert abc to int and add to 1? Apples + Bananas gives you what?',impolite
'issues?  What issues?',impolite
'@Praetorian: You had me into tears. I agree to you but is that going to help me with my question?',impolite
'someone? anyone?',impolite
'According to your comments to some of the answers you dont want to use neither locks nor interlocked operations yet you want the operation to be locked. How do you think you can achieve licking without using well locking?',impolite
'Are you trying to learn a programming language one whole program at a time?  Why dont you read the documentation in order to assemble your basic vocabulary?',impolite
'There is still ambiguity - `1 3 5 4 2` is zig zag according to YOUR description of the problem but NOT according to the topcoder description. Do you see why?',impolite
'All the images? In the whole world?',impolite
'bit or digit? the title of your question says digit your question says bit so what is it?',impolite
'First why are you saving an image into the database? Second how are you loading the bytearray into the other?',impolite
'Dont get you. Looks exactly the same in IE9 and FF5.01 on Windows 7?',impolite
'Emulating how a fish thinks is the way to get it really right worse you cant even start on a rough heuristic until you know what a fish-like swimming path *looks* like. Do you even have a way to judge how youre doing?',impolite
'Apparently you correctly answered your own question: The watch window gets the value of a variable by calling its `ToString` method. So whats your *actual* question?',impolite
'maxint**maxint is a number with >>750 decimals i hope youre not really suprised it takes a while. Also what is supposed to happen when a number does not fit into 32 bit?',impolite
'@Thomas P: hahah!! apropos Dijkstra huh?!',impolite
'Visual Studio 2080? Are you from the future? O_O',impolite
'The question should not be are assertions good? but rather when are assertions good?',impolite
'Your algorithm is already converting it to coordinates in mercator coordinate system. What is your question?',impolite
'@Andrew Bolster: listofthings in the actual implementation is coming from the parent.  Why cant you make this `thing` method a part of the parent and simplify this design?',impolite
'What technical reasons might those be? Do you understand how similar `require` and `use` are?',impolite
'but how?where will i write the code snipt?',impolite
'Agreed show us what you have and seek clarification on the hard parts. You wont get far asking people to do your homework for you (how would you learn?)',impolite
'Why are you using exec? And whats wrong with passing in a string or file?',impolite
'Oh how I hate such changed behaviour...^^ Why would you do that? If you write a letter in word would you expect it to save the text in a file when hitting enter or should it begin an new line?',impolite
'No it is not needed. You know a penalty box was made for the kind of behavior youre exhibiting right now?',impolite
'Thats correct behavior.  What dont you like about it?',impolite
'given the following program:  I see no program.  did you forget to include something?',impolite
'The output you give doesnt tie in at all clearly with the inputs in the second case.  What are you really after?',impolite
'Sounds like homework. Where is your own effort?',impolite
'excuse me ? - class ?',impolite
'will u please rephrase the question? what do you want to do really?',impolite
'By annoying alternate rows are you talking about banding? Or what exactly is the problem?',impolite
'why such a large file? Is this a one time thing or is this a on going problem?',impolite
'How would there be a conflict? Youre not using user supplied filenames for anything are you?',impolite
'Why are you using that in the first place? Why not `boost::posix_time::microsec_clock::local_time()`?',impolite
'@Dino beytar if you provided some more details about the purpose of this data you might be able to get some suggestions on how to best handle it. I assume you are aggregating this data on your origin server?',impolite
'This REEKS of a question asked in a panic before an assignment is due. Nothing wrong with seeking clarification but are we really here to answer verbatim questions?',impolite
'i think there is a LOT of information you arent telling us. are there any examples of headers and footers you are trying to make?',impolite
'Arent those that you listed sufficient? What are you looking for?',impolite
'Im not sure what your problem is. Arent you sure about how to automatically data bind it?',impolite
'_Why_ are you trying to delay it? What do you expect to gain from that?',impolite
'did you read the permission denied message in that trace? why are you swallowing exceptions (`catch(TwitterException te) {}`)?',impolite
'@chris Im missing something obvious.. Why is that annoying? Cause the page never stops loading?',impolite
'whats the question? and why isnt this tagged as homework?',impolite
'What do you mean by protecting them? What are you trying to prevent/avoid?',impolite
'What you cant understand? Binary search at all or just authors description?',impolite
'I would say that it has nothing to do with the language but with programming. Since this is homework I suppose that you should know at least something about this subject?',impolite
'What do you mean with it doesnt work ? Does it crash (which I suspect given your code) does it show the wrong images doesnt it do anything at all ?',impolite
'I gave a working answer just scroll down to read it. Who is going to accept my answer?',impolite
'I am curious why this is an interesting question.  Why would you care as long as its not leaky?',impolite
'Saranyya: what task are you trying to accomplish?  why do you need to sleep with such precision?',impolite
'COBOL homework? Where do they even do that?!',impolite
'That doesnt really make any sense. You have an array of dictionary objects or you actually have a dictionary whose values are all of this object type with keys like Title etc?',impolite
'I see you figured out how to ask questions.  Why not earn a badge and go back and delete your non-answer to the TAOCP question?',impolite
'why would you have to upload the access database? isnt it already on the server??',impolite
'since when was north 0 degrees east 45 degress etc. Dont you mean 0 90 180 270?',impolite
'Why would you want to round in such a strange way? How would this be useful for money rounding?',impolite
'Google searches really should help you get most of what you need.  What are you learning if youre just asking people for code?',impolite
'1st of all I think `string` is a reserved word and shouldnt be used. Second of all have you tried debugging with console.log?',impolite
'Hardcore the password?  Would that make it a password to an adult site?',impolite
'Dont you think that What do you miss? kind of questions are subjective?',impolite
'Seems like a very odd design for web applications. Would you mind to explain why MVCC does not work for you?',impolite
'The hash is used (often) to capture state while a URL (as its [definition suggests](http://en.wikipedia.org/wiki/Uniform_Resource_Locator)) is for **identifying a resource**. So again why would you push a non-existent url into the browsers history?',impolite
'Its unclear what youre trying to do... why are you concatenating the strings if you dont *want* them concatenated? Could you give more sample inputs/outputs?',impolite
'Any reason for not using `print join + 1..3`? I mean its golf right?',impolite
'Also why are you calling use Inline three times?  Where did you get the idea to do this and why not just call it once?',impolite
'Why do you want 50 threads? And what is it that they are supposed to be doing exactly?',impolite
'This sounds like homework. Also Lisp is built around recursion why do you want to avoid it?',impolite
'@Andrew I beg to differ the examples arent good enough to explain what he wants. Its like saying I need *something* for instance a car so can you help?.',impolite
'So its not really about the list its about those instructions? What exactly is the question then?',impolite
'Why keeps everone calling Java **methods** *functions*? Is that what theyre teached at schools nowadays?',impolite
'and what is the problem? why dont you use recvfrom - which is the canonical way to read from UDP sockets?',impolite
'@Monish If you dont know how to implement modes of operation you shouldnt be implementing your own crypto code. Why not use an existing library like KeyCzar?',impolite
'What do you mean it did not work?  What happened?',impolite
'Im always amazed at how many questions are similar to this. Are people itching to write code like this?',impolite
'think Ive pointed out something that is not yet satisfactorily proven?  What have you pointed out thats not proven formally?',impolite
'Seems like a rather big project. From what I can read you have no experience in programming?',impolite
'what? ......... Also why you need to this via Array and not via DB?',impolite
'I think your question is too vague. What are the properties of Irony that you want?',impolite
'What kind of user knows JSON but not HTML?  How would you put bold text in a link?',impolite
'You do realize this is an example? And that Ruby find this problem at RUNTIME?',impolite
'I absolutely dont understand the question. What is this supposed to mean and the difference between the scores of 10 and 18 relatively more higher than 18 and 20?',impolite
'And whats your problem exactly? What have you tried so far?',impolite
'why are you using the LET* ? For what?',impolite
'An algorithm...for what?  Mine placement?',impolite
'what exactly are you expecting to see?  more than 1 server?',impolite
'smells like homework. what have you tried?',impolite
'Wow is it my writing or what? This is my first ever question in StackOverflow and all I get is misunderstanding??',impolite
'I am attempting to ask what I see as a fundamental question.  Maybe I should have asked is it true that there is a fundamental computational complexity for certain math that cannot be avoided?',impolite
'It would help if you described what your ultimate goal is. Do you really expect a given multigigabyte media file to have any resemblance to another multigigabyte media file?',impolite
'You say My solution involves a tree but surely that doesnt fall under the using only bit manipulation criteria does it? As such its not really a solution is it?',impolite
'You ask and answer your own question? Or am I completely missing out on something?',impolite
'@Sachin - please post COMPLETE real code. You do realise the snippet posted wont compile and run without `Config` class definition right?',impolite
'you will certainly find something on the spec. Have you tried?',impolite
'Testing is an art more than a science. Before you go off and read a book tell me - what are you trying to accomplish?',impolite
'Ruby doesnt even have an official spec so I doubt that theres a properly correct answer. In any case why do you need to know this?',impolite
'@Brian useful != possible. The question was what is possible?',impolite
'homework? perchance?',impolite
'Why exactly would a space-inefficient trie be too slow? Are you expecting to load more data than available memory and thus creating many page faults?',impolite
'well what are you getting instead? What is the problem?',impolite
'Can you explain what you are trying to do? The *whole point* of the Null Object Refactoring is *not* to use `nil` so why would you want to inherit from `NilClass` for that?',impolite
'@Kangkan: youre getting awfully technical on a slippery road... Does the application effectively _knows_? Does the application exist outside of the computer?',impolite
'So this *is* a trick question right? Or am I just completely useless?',impolite
'The C specification says tm_years is Years since 1900.  Why not just stick to the standard and avoid this whole mess?',impolite
'How about some screenshots? (Hmm does stackoverflow have facilities for that?)',impolite
'There is no answer without a specific question -- how is your code not working? What does the data look like that is being parsed by `split`?',impolite
'You need to further explain this question to get a good answer.Given an integer as input what is the output that you want?',impolite
'Can someone explain to me why this is not a real question. How is it off-topic to being a programmer? :|',impolite
'Why are you doing this? If `rate` has a 1:1 relationship with `Posts` why not just add a new column to the `Posts` table?',impolite
'thats the error? just one line?',impolite
'I cant think of any reason why this would be necessary. What are you trying to accomplish?',impolite
'WHy would you need a dummy line to put a breakpoint on ?  When cant you use an actual line ?',impolite
'You should know that adding the tag homework to your question still doesnt convince many people to do all the work for you. Could you at least show us what you came up with so far?',impolite
'This strikes me as a rather weird use of templates.  What is it that you are trying to achieve?',impolite
'I have no idea how your matrix looks like or what you are really trying to do. Could you re-phrase the question?',impolite
'Unless youre building an ORM yourself this is a strange question to ask. What exactly are you trying to do?',impolite
'@belisarius done. clear now?',impolite
'Your title says sorted array but you ask about a BST in your question? Is this homework?',impolite
'Isnt that a bit of an odd measure? Would you choose to become a factory worker because its *easier* and *faster to learn*?',impolite
'Lol -- +1. What **compiler** are you using?',impolite
'Why not? How many colors do you want?',impolite
'is it converted to hex & then the hex is stored as byte array?? but why??',impolite
'What do you mean it just dies?  Whats the error?',impolite
'Joe Millss answe is technically correct but Im not sure its what youre after?  Why dont you explain what youre trying to do rather than ask how something works?',impolite
'@There: Thats a lot of code to wade through.  Are you saying you cant possibly simplify it in any further?',impolite
'@IVlad: yup but the current answers fail to explain why. Care to write a better one?',impolite
'@LarsOn: Excuse me? I dont understand a word you are saying?',impolite
'It might help to give some details about the problem other than general it works in debug but not in release.  What is it what is it?',impolite
'I find your decision to put the deepest level element as value and all parents as key somewhat weird. How are you going to know what to take from the array - key or value?',impolite
'Whats wrong with PowerShell?  http://technet.microsoft.com/en-us/scriptcenter/powershell.aspx  Why arent you using this?',impolite
'I dont get it. You have the `query` object already so why not just do `if (query.id && query.foo && query.bar) { ... }`?',impolite
'@Gene Why is it that a handcrafted parser will beat a C++ parser generator?  Considering that writing a hand-crafted parser is a lot of code isnt it possible that the hand-crafted parser could be much slower?',impolite
'I didnt think the people at Microsoft would be so inconsiderate to say Hey your database WILL get corrupt you have to use a menu command in Access to fix it!Would they say the same thing to people using SQL Server?!',impolite
'@:closers: why off topic? Mind to explain?',impolite
'There are 788657867364790503552363213932185062295135977687173263294742533244359449963403342920304284011984623904177212138919638830257642790242637105061926624952829931113462857270763317237396988943922445621451664240254033291864131227428294853277524242407573903240321257405579568660226031904170324062351700858796178922222789623703897374720000000000000000000000000000000000000000000000000 permutations of 200-element set.  You want them all?',impolite
'*lol* the war against crackers is stopping our white-hats to learn the trade. Maybe the criminals will go away when we dont know how they do it? ;)',impolite
'Also how can the answer be 3? Three bananas?',impolite
'That is one looooooooong problem. Can you summarize it?',impolite
'I find these methods quite unnecessary.  Whats the advantage of using these over the very trivial comparisons?',impolite
'did these suggestions help you? Are you able to accept an answer?',impolite
'Why do you need to store the whole graph in memory? Cant you serialize it to the datastore in a fashion that makes querying it practical?',impolite
'If so thats a hell of a perf hit to take just to show the user a moving progress indicator. Why not just show a spinning ball or similar while the file is copying?',impolite
'What does this have to do with programming?  Are you trying to solve this problem with a program?',impolite
'I think you need to describe better what youre trying to do.  You want to break up the string into substrings of a certain length?',impolite
'sorry no idea what the code should do. Is the selected in the db or what?',impolite
'but that wont work. - please be specific why people should guess?',impolite
'Images are always rectangular how are you creating anything different?  Are you looking for [image maps](http://en.wikipedia.org/wiki/Image_map)?',impolite
'-1: For not specifying what is to be done later with the data. If you claim the question is open-ended (interview and all) then why accept an answer?',impolite
'@Eric no this is hobby stuff. Why does it make a difference?',impolite
'Your examples have nothing to do with GLn. Are the coefficients always integers ?',impolite
'What is the purpose of implementing your own framework? Why not use an existing one?',impolite
'doing math on the file as if it were one long number sounds like a bad idea!  What method is this?',impolite
'No. Distribued between what and what? Are those numbers independent or not?',impolite
'Might i also add that enabling iPad features in an iPhone app target seems silly. Why dont you do it properly and make the iPhone app a universal binary (iPad+iPhone) ?',impolite
'Is there any point though? If the image is already the correct size?',impolite
'How is the result of your code different from that shown in the article?  What exactly are you asking for help with?',impolite
'No doubt some comments are crazy. But getting rid of **all* comments?',impolite
'return cell;    [tableView deselectRowAtIndexPath:indexPath animated:YES]; why you have code for deselecting row after returning cell??',impolite
'er no that wont work. It wud still complain about that error wont it?',impolite
'Having the number of managed threads isnt very meaningful as a metric; most of those threads will have near-zero overhead when theyre sleeping. Why do you want to know?',impolite
